Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,CA,California,Calaveras,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.3,,,9.0,11.7,46221,6009,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-120.5541065 38.1910682),1184
2021,CA,California,Alameda,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.1,,,8.6,11.8,1648556,6001,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-121.912488 37.6471385),1141
2021,CA,California,San Benito,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11,,,9.4,12.9,66677,6069,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-121.0858108 36.6116507),1178
2020,CA,California,Sacramento,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,38.2,,,32.3,44.2,1588921,6067,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-121.3443291 38.4501363),77
2021,CA,California,Plumas,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,9.9,,,8.9,11.0,19915,6063,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-120.8243709 39.9922953),1176
2021,CA,California,Monterey,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12,,,10.3,13.9,437325,6053,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-121.3155781 36.2401044),1171
2020,CA,California,Kern,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,32.4,,,26.6,38.6,917673,6029,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-118.7295064 35.3466288),1192
2021,CA,California,Sutter,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,13,,,11.1,15.0,99063,6101,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-121.7039397 39.0361898),1438
2021,CA,California,Mono,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,18.3,,,15.0,22.0,13247,6051,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-118.8751668 37.9158363),1170
2020,CA,California,San Joaquin,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,10.7,,,8.0,13.6,789410,6077,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-121.272244 37.9349815),1181
